Date,Symbol,Amount (SGD),P/L (SGD)
2021-11-26,SOL1-USD,1484.47479291,257.624947111997
2021-11-27,SOL1-USD,1484.47479291,272.09220533739426
2021-11-28,SOL1-USD,1484.47479291,340.99410325067765
2021-11-29,SOL1-USD,1484.47479291,374.1303137956397
2021-11-30,SOL1-USD,1484.47479291,413.7151552388518
2021-12-01,SOL1-USD,1484.47479291,605.9097291255503
2021-12-02,SOL1-USD,1484.47479291,644.058935075519
2021-12-03,SOL1-USD,1484.47479291,436.9423855820187
2021-12-04,SOL1-USD,1484.47479291,345.07101378993593
2021-12-05,SOL1-USD,1484.47479291,299.98320369496537
2021-12-06,SOL1-USD,1484.47479291,282.0716972698831
2021-12-07,SOL1-USD,1484.47479291,249.30303606129428
2021-12-08,SOL1-USD,1484.47479291,285.9148641979434
2021-12-09,SOL1-USD,1484.47479291,163.62406553190817
2021-12-10,SOL1-USD,1484.47479291,43.337854296350315
2021-12-11,SOL1-USD,1484.47479291,79.67554725953346
2021-12-12,SOL1-USD,1484.47479291,93.15827850498522
2021-12-13,SOL1-USD,1484.47479291,-72.56857908425195
2021-12-14,SOL1-USD,1484.47479291,-89.59383078397809
2021-12-15,SOL1-USD,1484.47479291,137.81441245338442
2021-12-16,SOL1-USD,1484.47479291,125.20544369753611
2021-12-17,SOL1-USD,1484.47479291,58.63640140979123
2021-12-13,ETH-USD,993.42262,12.453905361592206
2021-12-14,ETH-USD,993.42262,2.1441887207948866
2021-12-15,ETH-USD,993.42262,74.69592609904294
2021-12-16,ETH-USD,993.42262,59.83224131299403
2021-12-17,ETH-USD,993.42262,1.945417015359908
2021-11-27,SAND-USD,495.82492,-30.751665935292294
2021-11-28,SAND-USD,495.82492,35.520225656237585
2021-11-29,SAND-USD,495.82492,-1.253276147899669
2021-11-30,SAND-USD,495.82492,-15.420508757653295
2021-12-01,SAND-USD,495.82492,-29.210601530380245
2021-12-02,SAND-USD,495.82492,-19.758293367471765
2021-12-03,SAND-USD,495.82492,-67.75726940415387
2021-12-04,SAND-USD,495.82492,-65.79938937487606
2021-12-05,SAND-USD,495.82492,-110.7161689533329
2021-12-06,SAND-USD,495.82492,-105.03999454877851
2021-12-07,SAND-USD,495.82492,-117.85425913332466
2021-12-08,SAND-USD,495.82492,-116.09174768688683
2021-12-09,SAND-USD,495.82492,-125.80933905533794
2021-12-10,SAND-USD,495.82492,-151.09820560170175
2021-12-11,SAND-USD,495.82492,-136.70323464910507
2021-12-12,SAND-USD,495.82492,-107.39716926649572
2021-12-13,SAND-USD,495.82492,-155.60429943385606
2021-12-14,SAND-USD,495.82492,-156.86496121554376
2021-12-15,SAND-USD,495.82492,-130.75758283813002
2021-12-16,SAND-USD,495.82492,-144.61975498239997
2021-12-17,SAND-USD,495.82492,-159.72087377155304
2021-11-26,CRO-USD,496.86064,-50.18256106819388
2021-11-27,CRO-USD,496.86064,10.428903741765055
2021-11-28,CRO-USD,496.86064,-8.913452162892838
2021-11-29,CRO-USD,496.86064,-34.74878171855687
2021-11-30,CRO-USD,496.86064,-50.00521939381122
2021-12-01,CRO-USD,496.86064,-30.079028618562177
2021-12-02,CRO-USD,496.86064,-47.62080908051013
2021-12-03,CRO-USD,496.86064,-82.80274313246247
2021-12-04,CRO-USD,496.86064,-102.50560761817457
2021-12-05,CRO-USD,496.86064,-131.85926174320457
2021-12-06,CRO-USD,496.86064,-110.20633323783397
2021-12-07,CRO-USD,496.86064,-98.49283270280836
2021-12-08,CRO-USD,496.86064,-100.71861152490612
2021-12-09,CRO-USD,496.86064,-129.2050004374504
2021-12-10,CRO-USD,496.86064,-141.1987679431939
2021-12-11,CRO-USD,496.86064,-122.38195600854152
2021-12-12,CRO-USD,496.86064,-106.07959980471128
2021-12-13,CRO-USD,496.86064,-152.00160335629698
2021-12-14,CRO-USD,496.86064,-157.4700305230188
2021-12-15,CRO-USD,496.86064,-136.2824262022042
2021-12-16,CRO-USD,496.86064,-147.21472836736916
2021-12-17,CRO-USD,496.86064,-164.80361219769236
